BANK NAME,IFSC,OFFICE,ADDRESS,DISTRICT,CITY,STATE,PHONE
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065001,RTGS-HO,"ABHYUDAYA BANK BLDG., B.NO.71, NEHRU NAGAR, KURLA (E), MUMBAI-400024",GREATER MUMBAI,MUMBAI,MAHARASHTRA,25260173
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065002,ABHYUDAYA NAGAR,"ABHYUDAYA EDUCATION SOCIETY, OPP. BLDG. NO. 18, ABHYUDAYA NAGAR, KALACHOWKY, MUMBAI - 400033",GREATER MUMBAI,MUMBAI,MAHARASHTRA,24702643
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065003,BAIL BAZAR,"KMSPM'S SCHOOL, WADIA ESTATE, BAIL BAZAR-KURLA(W), MUMBAI-400070",GREATER MUMBAI,MUMBAI,MAHARASHTRA,25032202
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065004,BHANDUP,"CHETNA APARTMENTS, J.M.ROAD, BHANDUP, MUMBAI-400078",GREATER MUMBAI,MUMBAI,MAHARASHTRA,25963157
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065005,DARUKHANA,"POTIA IND.ESTATE, REAY ROAD (E), DARUKHANA, MUMBAI-400010",GREATER MUMBAI,MUMBAI,MAHARASHTRA,23778164
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065006,FORT,"ABHYUDAYA BANK BLDG., 251, PERIN NARIMAN STREET, FORT, MUMBAI-400001",GREATER MUMBAI,MUMBAI,MAHARASHTRA,22614468
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065007,GHATKOPAR,"UNIT NO 2 & 3, SILVER HARMONY BLDG,NEW MANIKLAL ESTATE, GHATKOPAR (WEST), MUMBAI-400086",GREATER MUMBAI,MUMBAI,MAHARASHTRA,25116673
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065008,KANJUR,"BHANDARI CO-OP. HSG. SOCIETY, KANJUR VILLAGE, KANJUR (EAST), MUMBAI-400078",GREATER MUMBAI,MUMBAI,MAHARASHTRA,25783519
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065009,NEHRU NAGAR,"ABHYUDAYA BANK BLDG., B.NO.71, NEHRU NAGAR, KURLA (E), MUMBAI-400024",GREATER MUMBAI,MUMBAI,MAHARASHTRA,25222386
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065010,PAREL,"SHRAMA SAFALYA, 63 G.D.AMBEKAR MARG, PAREL VILLAGE, MUMBAI-400012",GREATER MUMBAI,MUMBAI,MAHARASHTRA,24137707
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065011,SEWRI,"NAVNIDHI INDUSTRIAL ESTATE, ACHARYA DONDHE MARG, SEWRI, MUMBAI-400015",GREATER MUMBAI,MUMBAI,MAHARASHTRA,24136008
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065012,WADALA,"B.P.T.MARKET BLDG., NADKARNI PARK, WADALA (EAST), MUMBAI-400037",GREATER MUMBAI,MUMBAI,MAHARASHTRA,24184512
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065013,WORLI,"LANDMARK,NEXT TO MAHINDRA TOWERS, PLOT NO.1, J M BHOSLE MARG, WORLI, MUMBAI-400018",GREATER MUMBAI,MUMBAI,MAHARASHTRA,24921104
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065014,MUMBRA,"RIZVI APARTMENTS, OPP. RAILWAY STATION, MUMBRA-400612",GREATER MUMBAI,MUMBAI,MAHARASHTRA,25462172
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065015,TURBHE,"A.P.M.C.MARKET, ADMINISTRATIVE BLDG, TURBHE, NAVI MUMBAI-400705",GREATER MUMBAI,MUMBAI,MAHARASHTRA,27888044
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065016,VASHI,"ABHYUDAYA BANK BLDG., SECTOR 17, VASHI, NAVI MUMBAI-400705",GREATER MUMBAI,MUMBAI,MAHARASHTRA,27892458
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065017,MOBILE BANK,"ABHYUDAYA BANK BLDG., SECTOR 17, VASHI, NAVI MUMBAI-400703",GREATER MUMBAI,MUMBAI,MAHARASHTRA,27892444
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065018,NEW PANVEL,"ABHYUDAYA BANK BLDG., SECTOR 17, NEW PANVEL-410206",GREATER MUMBAI,MUMBAI,MAHARASHTRA,27453585
